"title (nl)","creator", "creation_start_date", "creation_end_date", "creaor_qID", "exhibition_ID"
"Giraffina tafel en drie stoelen ontworpen voor het restaurant van het Casa de Benin of centrum voor Afro-Braziliaanse cultuur, Salvador, Bahia","Ferraz, Marcelo",1987,1987,NULL,TE_2020-004
"Giraffina tafel en drie stoelen ontworpen voor het restaurant van het Casa de Benin of centrum voor Afro-Braziliaanse cultuur, Salvador, Bahia","Ferraz, Suzuki",1987,1987,NULL,TE_2020-004
"Giraffina tafel en drie stoelen ontworpen voor het restaurant van het Casa de Benin of centrum voor Afro-Braziliaanse cultuur, Salvador, Bahia",Marcenaria Baraúna,1987,1987,NULL,TE_2020-004
Lage tafels,PAUBRA S.A. Moveis e Esquadrias,1952,NULL,NULL,TE_2020-004
"Vierkante tafel Consolle, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1949,1951,Q3762933,TE_2020-004
"Stoel C12, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1948,1948,Q3762933,TE_2020-004
"Schommelstoel/P13, Estúdio Palma: LBB en Palanti, São Paulo","Bo Bardi, Lina",1948,1949,Q272400,TE_2020-004
"Vierkante tafel Consolle, Estúdio Palma: LBB en Palanti, São Paulo","Bo Bardi, Lina",1949,1951,Q272400,TE_2020-004
"Giraffina tafel en drie stoelen ontworpen voor het restaurant van het Casa de Benin of centrum voor Afro-Braziliaanse cultuur, Salvador, Bahia","Bo Bardi, Lina",1987,1987,Q272400,TE_2020-004
"Eetkamertafel, Estúdio Palma: LBB en Palanti, São Paulo","Bo Bardi, Lina",1949,1951,Q272400,TE_2020-004
"Fauteuil Tridente of P9, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1948,1948,Q3762933,TE_2020-004
"Bank ontworpen voor SESC Pompéia , São Paulo","Bo Bardi, Lina",1970,1980,Q272400,TE_2020-004
"Stoel C12, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1948,1948,Q3762933,TE_2020-004
"Ligstoel, ontworpen voor Casa Valéria Cirelle, Morumbi-São Paulo","Bo Bardi, Lina",1958,1958,Q272400,TE_2020-004
"Plooibare en stapelbare MASP-stoelen, ontworpen voor het auditorium van het Museu de Arte de São Paulo","Bo Bardi, Lina",1947,1947,Q272400,TE_2020-004
"Eetkamertafel, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1949,1951,Q3762933,TE_2020-004
"Zeldzaam bureau, Estúdio Palma: LBB en Palanti, São Paulo","Bo Bardi, Lina",1949,1950,Q272400,TE_2020-004
"Fauteuil Tredente of P9, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1948,1948,Q3762933,TE_2020-004
Zeldzame kerkstoelen,"Bo Bardi, Lina",NULL,1967,Q272400,TE_2020-004
"Fauteuil Tridente of P9, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1948,1948,Q3762933,TE_2020-004
"Lage tafel, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1949,1951,Q3762933,TE_2020-004
"Lage tafel, Estúdio Palma: LBB en Palanti, São Paulo","Bo Bardi, Lina",1949,1951,Q272400,TE_2020-004
"Stoel C12, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1948,1948,Q3762933,TE_2020-004
"Ligstoel, ontworpen voor Casa Valéria Cirell, Morumbi-São-Paulo","Bo Bardi, Lina",1958,NULL,Q272400,TE_2020-004
"Fauteuil Tripé, Estúdio Palma: LBB en Palanti, São Paulo","Bo Bardi, Lina",1980,1989,Q272400,TE_2020-004
"Fauteuil Zig Zag, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1949,1950,Q3762933,TE_2020-004
"Stoelen voor de bibliotheek van SESC Pompéia, São Paulo","Ferraz, Marcelo",1980,1989,NULL,TE_2020-004
"Stoelen voor de bibliotheek van SESC Pompéia, São Paulo","Ferraz, Suzuki",1980,1989,NULL,TE_2020-004
"Stoelen voor de bibliotheek van SESC Pompéia, São Paulo","Bo Bardi, Lina",1980,1989,Q272400,TE_2020-004
"Fauteuil Tridente of P9, Estúdio Palma: LBB en Palanti, São Paulo","Palanti, Giancarlo",1948,1948,Q3762933,TE_2020-004
